0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1.56,7.23,12.9,18.56,24.23,29.89,35.56,41.23,46.89,52.56,58.22,63.89,69.56,75.22,80.89,86.55,92.22,97.89,103.55,109.22,114.88,120.55,126.22,131.88,137.55,143.21,148.88,154.55,160.21,165.88,171.55,177.21,182.88,188.54,194.21,199.88,205.54,211.21,216.87,222.54,228.21,233.87,239.54,245.2,250.87,256.54,262.2,267.87,273.53,279.2,284.87,290.53,296.2,301.86,307.53,313.2,318.86,324.53,330.19,335.86,341.53,347.19,352.86,358.53,364.19,369.86,375.52,381.19,386.86,392.52,398.19,403.85,409.52,415.19,420.85,426.52,432.18,437.85,443.52,449.18,454.85,460.51,466.18,471.85,477.51,483.18,488.84,494.51,500.18,505.84,511.51,517.18,522.84,528.51,534.17,539.84,545.51,551.17,556.84,562.5,568.17
2.3,13.23,24.16,35.09,46.02,56.95,67.88,78.81,89.74,100.67,111.6,122.53,133.45,144.38,155.31,166.24,177.17,188.1,199.03,209.96,220.89,231.82,242.75,253.67,264.6,275.53,286.46,297.39,308.32,319.25,330.18,341.11,352.04,362.97,373.9,384.82,395.75,406.68,417.61,428.54,439.47,450.4,461.33,472.26,483.19,494.12,505.05,515.97,526.9,537.83,548.76,559.69,570.62,581.55,592.48,603.41,614.34,625.27,636.2,647.12,658.05,668.98,679.91,690.84,701.77,712.7,723.63,734.56,745.49,756.42,767.35,778.27,789.2,800.13,811.06,821.99,832.92,843.85,854.78,865.71,876.64,887.57,898.5,909.42,920.35,931.28,942.21,953.14,964.07,975,985.93,996.86,1007.79,1018.72,1029.64,1040.57,1051.5,1062.43,1073.36,1084.29,1095.22
2.29,18.12,33.94,49.77,65.59,81.41,97.24,113.06,128.88,144.71,160.53,176.36,192.18,208,223.83,239.65,255.47,271.3,287.12,302.95,318.77,334.59,350.42,366.24,382.07,397.89,413.71,429.54,445.36,461.18,477.01,492.83,508.66,524.48,540.3,556.13,571.95,587.78,603.6,619.42,635.25,651.07,666.89,682.72,698.54,714.37,730.19,746.01,761.84,777.66,793.48,809.31,825.13,840.96,856.78,872.6,888.43,904.25,920.08,935.9,951.72,967.55,983.37,999.19,1015.02,1030.84,1046.67,1062.49,1078.31,1094.14,1109.96,1125.79,1141.61,1157.43,1173.26,1189.08,1204.9,1220.73,1236.55,1252.38,1268.2,1284.02,1299.85,1315.67,1331.5,1347.32,1363.14,1378.97,1394.79,1410.61,1426.44,1442.26,1458.09,1473.91,1489.73,1505.56,1521.38,1537.2,1553.03,1568.85,1584.68
1.59,21.98,42.36,62.74,83.12,103.5,123.88,144.26,164.64,185.03,205.41,225.79,246.17,266.55,286.93,307.31,327.69,348.08,368.46,388.84,409.22,429.6,449.98,470.36,490.74,511.12,531.51,551.89,572.27,592.65,613.03,633.41,653.79,674.17,694.56,714.94,735.32,755.7,776.08,796.46,816.84,837.22,857.61,877.99,898.37,918.75,939.13,959.51,979.89,1000.27,1020.66,1041.04,1061.42,1081.8,1102.18,1122.56,1142.94,1163.32,1183.71,1204.09,1224.47,1244.85,1265.23,1285.61,1305.99,1326.37,1346.76,1367.14,1387.52,1407.9,1428.28,1448.66,1469.04,1489.42,1509.8,1530.19,1550.57,1570.95,1591.33,1611.71,1632.09,1652.47,1672.85,1693.24,1713.62,1734,1754.38,1774.76,1795.14,1815.52,1835.9,1856.29,1876.67,1897.05,1917.43,1937.81,1958.19,1978.57,1998.95,2019.34,2039.72
0.26,24.89,49.52,74.15,98.78,123.41,148.04,172.67,197.3,221.93,246.56,271.19,295.82,320.45,345.08,369.71,394.34,418.96,443.59,468.22,492.85,517.48,542.11,566.74,591.37,616,640.63,665.26,689.89,714.52,739.15,763.78,788.41,813.04,837.67,862.29,886.92,911.55,936.18,960.81,985.44,1010.07,1034.7,1059.33,1083.96,1108.59,1133.22,1157.85,1182.48,1207.11,1231.74,1256.37,1281,1305.62,1330.25,1354.88,1379.51,1404.14,1428.77,1453.4,1478.03,1502.66,1527.29,1551.92,1576.55,1601.18,1625.81,1650.44,1675.07,1699.7,1724.33,1748.95,1773.58,1798.21,1822.84,1847.47,1872.1,1896.73,1921.36,1945.99,1970.62,1995.25,2019.88,2044.51,2069.14,2093.77,2118.4,2143.03,2167.66,2192.28,2216.91,2241.54,2266.17,2290.8,2315.43,2340.06,2364.69,2389.32,2413.95,2438.58,2463.21
-1.65,26.95,55.54,84.14,112.73,141.32,169.92,198.51,227.11,255.7,284.29,312.89,341.48,370.08,398.67,427.26,455.86,484.45,513.04,541.64,570.23,598.83,627.42,656.01,684.61,713.2,741.8,770.39,798.98,827.58,856.17,884.77,913.36,941.95,970.55,999.14,1027.74,1056.33,1084.92,1113.52,1142.11,1170.7,1199.3,1227.89,1256.49,1285.08,1313.67,1342.27,1370.86,1399.46,1428.05,1456.64,1485.24,1513.83,1542.43,1571.02,1599.61,1628.21,1656.8,1685.39,1713.99,1742.58,1771.18,1799.77,1828.36,1856.96,1885.55,1914.15,1942.74,1971.33,1999.93,2028.52,2057.12,2085.71,2114.3,2142.9,2171.49,2200.08,2228.68,2257.27,2285.87,2314.46,2343.05,2371.65,2400.24,2428.84,2457.43,2486.02,2514.62,2543.21,2571.81,2600.4,2628.99,2657.59,2686.18,2714.77,2743.37,2771.96,2800.56,2829.15,2857.74
-4.09,28.21,60.51,92.81,125.1,157.4,189.7,222,254.29,286.59,318.89,351.19,383.48,415.78,448.08,480.38,512.67,544.97,577.27,609.57,641.86,674.16,706.46,738.76,771.05,803.35,835.65,867.95,900.25,932.54,964.84,997.14,1029.44,1061.73,1094.03,1126.33,1158.63,1190.92,1223.22,1255.52,1287.82,1320.11,1352.41,1384.71,1417.01,1449.3,1481.6,1513.9,1546.2,1578.49,1610.79,1643.09,1675.39,1707.68,1739.98,1772.28,1804.58,1836.87,1869.17,1901.47,1933.77,1966.06,1998.36,2030.66,2062.96,2095.25,2127.55,2159.85,2192.15,2224.44,2256.74,2289.04,2321.34,2353.64,2385.93,2418.23,2450.53,2482.83,2515.12,2547.42,2579.72,2612.02,2644.31,2676.61,2708.91,2741.21,2773.5,2805.8,2838.1,2870.4,2902.69,2934.99,2967.29,2999.59,3031.88,3064.18,3096.48,3128.78,3161.07,3193.37,3225.67
-7.02,28.74,64.5,100.27,136.03,171.79,207.55,243.31,279.07,314.83,350.59,386.36,422.12,457.88,493.64,529.4,565.16,600.92,636.69,672.45,708.21,743.97,779.73,815.49,851.25,887.01,922.78,958.54,994.3,1030.06,1065.82,1101.58,1137.34,1173.1,1208.87,1244.63,1280.39,1316.15,1351.91,1387.67,1423.43,1459.19,1494.96,1530.72,1566.48,1602.24,1638,1673.76,1709.52,1745.28,1781.05,1816.81,1852.57,1888.33,1924.09,1959.85,1995.61,2031.37,2067.14,2102.9,2138.66,2174.42,2210.18,2245.94,2281.7,2317.47,2353.23,2388.99,2424.75,2460.51,2496.27,2532.03,2567.79,2603.56,2639.32,2675.08,2710.84,2746.6,2782.36,2818.12,2853.88,2889.65,2925.41,2961.17,2996.93,3032.69,3068.45,3104.21,3139.97,3175.74,3211.5,3247.26,3283.02,3318.78,3354.54,3390.3,3426.06,3461.83,3497.59,3533.35,3569.11
-10.4,28.6,67.61,106.61,145.62,184.62,223.62,262.63,301.63,340.64,379.64,418.64,457.65,496.65,535.66,574.66,613.66,652.67,691.67,730.67,769.68,808.68,847.69,886.69,925.69,964.7,1003.7,1042.71,1081.71,1120.71,1159.72,1198.72,1237.73,1276.73,1315.73,1354.74,1393.74,1432.75,1471.75,1510.75,1549.76,1588.76,1627.77,1666.77,1705.77,1744.78,1783.78,1822.79,1861.79,1900.79,1939.8,1978.8,2017.81,2056.81,2095.81,2134.82,2173.82,2212.82,2251.83,2290.83,2329.84,2368.84,2407.84,2446.85,2485.85,2524.86,2563.86,2602.86,2641.87,2680.87,2719.88,2758.88,2797.88,2836.89,2875.89,2914.9,2953.9,2992.9,3031.91,3070.91,3109.92,3148.92,3187.92,3226.93,3265.93,3304.94,3343.94,3382.94,3421.95,3460.95,3499.96,3538.96,3577.96,3616.97,3655.97,3694.97,3733.98,3772.98,3811.99,3850.99,3889.99
